name,position,team,total_points,appearance_points,goal_points,assist_points,clean_sheet_points,save_points,penalty_save_points,bonus_points,yellow_card_points,red_card_points,own_goal_points,penalty_miss_points,goals_conceded_points
Mohamed Salah,MID,Liverpool,209,38,90,39,8,0,0,35,-1,0,0,0,0
Cole Palmer,MID,Chelsea,153,40,65,21,4,0,0,26,-3,0,0,0,0
Erling Haaland,FWD,Man City,123,40,64,3,0,0,0,20,-2,0,0,-2,0
Alexander Isak,FWD,Newcastle,119,36,52,12,0,0,0,22,-1,0,0,0,0
Chris Wood,FWD,Nott'm Forest,114,38,48,3,0,0,0,25,-1,0,0,0,0
Bukayo Saka,MID,Arsenal,107,32,25,33,6,0,0,16,-3,0,0,0,0
Nicolas Jackson,FWD,Chelsea,96,36,36,12,0,0,0,15,-4,0,0,0,0
Luis Díaz,MID,Liverpool,96,26,40,9,8,0,0,10,-1,0,0,0,0
Ola Aina,DEF,Nott'm Forest,95,40,12,0,36,0,0,15,-2,0,0,0,-6
Matz Sels,GKP,Nott'm Forest,94,40,0,3,36,19,0,9,-2,0,0,0,-11
Anthony Gordon,MID,Newcastle,90,36,25,15,8,0,0,8,-1,0,0,-2,0
Gabriel dos Santos Magalhães,DEF,Arsenal,83,36,18,6,24,0,0,7,-2,0,0,0,-6
Trent Alexander-Arnold,DEF,Liverpool,83,34,6,12,28,0,0,11,-4,0,0,0,-4
Nikola Milenković,DEF,Nott'm Forest,83,38,12,3,36,0,0,1,-2,0,0,0,-5
Noni Madueke,MID,Chelsea,79,28,25,12,3,0,0,10,-3,0,0,0,0
Lewis Hall,DEF,Newcastle,79,34,0,12,28,0,0,9,-3,0,0,0,-1
David Raya Martin,GKP,Arsenal,78,40,0,0,28,16,0,6,-2,0,0,0,-10
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,77,38,6,0,32,0,0,10,-4,0,0,0,-5
Virgil van Dijk,DEF,Liverpool,75,38,6,3,32,0,0,3,-1,0,0,0,-6
Kai Havertz,FWD,Arsenal,74,34,28,6,0,0,0,10,-3,0,0,0,0
William Saliba,DEF,Arsenal,74,38,12,0,28,0,0,6,-2,-3,0,0,-5
Joško Gvardiol,DEF,Man City,74,36,24,0,16,0,0,7,-1,0,0,0,-8
Gabriel Martinelli Silva,MID,Arsenal,73,26,25,6,6,0,0,6,-1,0,0,0,0
Morgan Gibbs-White,MID,Nott'm Forest,71,32,20,9,8,0,0,10,-4,-3,0,0,0
Robert Sánchez,GKP,Chelsea,69,36,0,0,16,21,5,7,-4,0,0,0,-12
Jacob Murphy,MID,Newcastle,69,26,15,21,5,0,0,3,-2,0,0,0,0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,69,38,20,3,6,0,0,11,-7,0,0,0,0
Bruno Guimarães Rodriguez Moura,MID,Newcastle,68,40,5,15,7,0,0,4,-3,0,0,0,0
Anthony Elanga,MID,Nott'm Forest,68,28,15,12,7,0,0,4,-1,0,0,0,0
Cody Gakpo,FWD,Liverpool,67,22,24,6,0,0,0,12,-4,0,0,0,0
Bernardo Veiga de Carvalho e Silva,MID,Man City,67,36,10,12,4,0,0,7,-4,0,0,0,0
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,67,24,5,21,3,0,0,12,-2,0,0,0,0
Enzo Fernández,MID,Chelsea,66,30,15,12,3,0,0,5,-3,0,0,0,0
Harvey Barnes,MID,Newcastle,65,12,25,3,1,0,0,9,0,0,0,0,0
Jurriën Timber,DEF,Arsenal,64,32,6,3,24,0,0,5,-5,0,0,0,-1
Callum Hudson-Odoi,MID,Nott'm Forest,62,32,10,9,8,0,0,3,-1,0,0,0,0
